#
#
# US Geological Survey, Water Resources Data
# retrieved: 2020-05-25 15:29:43 -04:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        04096405     00060          ST. JOSEPH RIVER AT BURLINGTON, MI
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# max_va_yr   ... Water year in which the maximum value occurred.
# max_va      ... Maximum of daily mean values for this day.
# min_va_yr   ... Water year in which the minimum value occurred.
# min_va      ... Minimum of daily mean values for this day.
# mean_va     ... Mean of daily mean values for this day.
# p05_va      ... 05 percentile of daily mean values for this day.
# p10_va      ... 10 percentile of daily mean values for this day.
# p20_va      ... 20 percentile of daily mean values for this day.
# p25_va      ... 25 percentile of daily mean values for this day.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
# p75_va      ... 75 percentile of daily mean values for this day.
# p80_va      ... 80 percentile of daily mean values for this day.
# p90_va      ... 90 percentile of daily mean values for this day.
# p95_va      ... 95 percentile of daily mean values for this day.
#
1agenc   2site_no	 3param 4ts_id	5mon  6day  7begi	8end 9count 10maxyr11max12minyr 13min_v14me15p5-16p10-17p20-18p25-19p50-20p75-21p80-22p90-23p95
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	5n	12s	5n	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s
USGS	04096405	00060	70388		5	17	1963	2019	57	2018	725	1971	90.0	266	103	128	148	157	222	335	367	536	619
USGS	04096405	00060	70388		5	18	1963	2019	57	2018	736	1971	87.0	265	110	130	146	153	220	332	364	552	582
USGS	04096405	00060	70388		5	19	1963	2019	57	2018	772	1971	87.0	265	108	124	150	159	212	344	374	503	560
USGS	04096405	00060	70388		5	20	1963	2019	57	2018	749	1971	89.0	260	106	120	151	161	210	335	349	488	528
USGS	04096405	00060	70388		5	21	1963	2019	57	2018	706	1971	89.0	254	99	116	149	160	215	317	344	462	515
USGS	04096405	00060	70388		5	22	1963	2019	57	2018	701	1971	85.0	253	91	114	137	154	208	320	342	451	634
USGS	04096405	00060	70388		5	23	1963	2019	57	2010	747	1971	81.0	249	83	111	130	150	195	322	361	420	577
USGS	04096405	00060	70388		5	24	1963	2019	57	2010	627	1964	74.0	238	81	110	139	147	193	315	344	414	522
USGS	04096405	00060	70388		5	25	1963	2019	57	2010	605	1964	66.0	231	80	107	140	145	184	311	331	396	457
USGS	04096405	00060	70388		5	26	1963	2019	57	2010	643	1964	64.0	230	77	105	134	148	193	305	330	406	466
USGS	04096405	00060	70388		5	27	1963	2019	57	2010	702	1964	61.0	229	75	102	137	148	194	297	339	432	489
USGS	04096405	00060	70388		5	28	1963	2019	57	2010	723	1964	58.0	227	79	102	135	145	191	293	326	444	479
USGS	04096405	00060	70388		5	29	1963	2019	57	2010	677	1964	55.0	222	78	97	128	144	180	280	320	421	508
USGS	04096405	00060	70388		5	30	1963	2019	57	2011	625	1964	56.0	219	76	91	120	139	177	277	314	438	481
USGS	04096405	00060	70388		5	31	1963	2019	57	1989	839	1964	53.0	234	72	97	133	136	176	283	326	477	523
USGS	04096405	00060	70388		6	1	1963	2019	57	1989	1330	1964	49.0	243	68	97	125	131	184	295	323	460	537
USGS	04096405	00060	70388		6	2	1963	2019	57	1989	1270	1964	47.0	242	65	98	123	128	197	297	337	449	525
USGS	04096405	00060	70388		6	3	1963	2019	57	1989	1190	1964	46.0	242	62	97	119	123	195	305	347	465	582
USGS	04096405	00060	70388		6	4	1963	2019	57	1989	1320	1964	45.0	236	59	94	114	119	187	300	324	445	539
USGS	04096405	00060	70388		6	5	1963	2019	57	1989	1330	1964	44.0	233	58	91	115	118	184	293	320	431	485
USGS	04096405	00060	70388		6	6	1963	2019	57	1989	1210	1964	42.0	235	60	87	110	117	179	287	348	453	516
USGS	04096405	00060	70388		6	7	1963	2019	57	1989	1080	1977	64.0	228	74	90	109	114	169	278	317	463	547
USGS	04096405	00060	70388		6	8	1963	2019	57	1989	980	1977	62.0	223	70	89	105	115	158	259	302	438	553
USGS	04096405	00060	70388		6	9	1963	2019	57	1989	880	1964	58.0	219	66	85	105	113	155	271	310	434	563
USGS	04096405	00060	70388		6	10	1963	2019	57	1989	800	1964	60.0	209	66	80	105	114	156	264	309	383	543
USGS	04096405	00060	70388		6	11	1963	2019	57	1989	740	1964	58.0	200	63	82	102	111	153	253	298	342	505
USGS	04096405	00060	70388		6	12	1963	2019	57	1989	670	1964	58.0	194	63	79	101	105	146	265	289	343	472
USGS	04096405	00060	70388		6	13	1963	2019	57	1980	618	1988	56.0	191	60	77	99	103	145	268	283	361	438
USGS	04096405	00060	70388		6	14	1963	2019	57	1980	580	1988	53.0	191	56	75	96	102	140	266	285	373	552
USGS	04096405	00060	70388		6	15	1963	2019	57	1981	658	1988	49.0	192	53	71	93	101	146	254	280	383	545
USGS	04096405	00060	70388		6	16	1963	2019	57	2015	709	2012	49.0	186	52	68	88	99	144	248	272	354	511
USGS	04096405	00060	70388		6	17	1963	2019	57	2015	686	1964	49.0	177	51	63	85	96	137	235	251	328	443
USGS	04096405	00060	70388		6	18	1963	2019	57	2015	575	1964	46.0	171	51	59	86	95	129	234	242	309	477
USGS	04096405	00060	70388		6	19	1963	2019	57	2015	556	1988	43.0	168	49	55	84	92	129	232	249	307	445
USGS	04096405	00060	70388		6	20	1963	2019	57	2015	562	1964	41.0	167	47	53	79	88	123	234	254	317	418
USGS	04096405	00060	70388		6	21	1963	2019	57	2015	539	1988	40.0	168	44	56	79	82	120	235	253	331	403
USGS	04096405	00060	70388		6	22	1963	2019	57	1981	542	1988	36.0	169	44	57	76	81	120	238	253	331	429
USGS	04096405	00060	70388		6	23	1963	2019	57	2015	522	1988	37.0	166	43	58	74	80	125	235	258	333	393
USGS	04096405	00060	70388		6	24	1963	2019	57	2015	503	1988	33.0	167	42	55	71	78	127	227	244	373	397
USGS	04096405	00060	70388		6	25	1963	2019	57	2000	520	1988	33.0	170	40	54	68	76	124	225	237	398	427
USGS	04096405	00060	70388		6	26	1963	2019	57	2000	661	1988	30.0	184	37	49	67	76	149	226	267	387	530
USGS	04096405	00060	70388		6	27	1963	2019	57	1978	922	1988	29.0	187	35	45	67	74	142	220	259	373	586
USGS	04096405	00060	70388		6	28	1963	2019	57	1978	871	1988	27.0	181	34	42	69	75	145	217	241	362	545
USGS	04096405	00060	70388		6	29	1963	2019	57	1968	721	1988	26.0	173	32	42	64	75	141	223	228	348	517
USGS	04096405	00060	70388		6	30	1963	2019	57	1968	721	1988	25.0	169	29	45	66	71	140	211	226	331	478
USGS	04096405	00060	70388		7	1	1963	2019	57	1978	750	1988	23.0	165	28	49	62	68	140	199	223	305	462
USGS	04096405	00060	70388		7	2	1963	2019	57	1978	780	1988	22.0	160	29	49	58	70	140	194	221	276	451
USGS	04096405	00060	70388		7	3	1963	2019	57	1978	770	1988	21.0	155	30	48	55	66	132	192	211	260	456
USGS	04096405	00060	70388		7	4	1963	2019	57	1978	695	1988	21.0	152	29	46	52	63	136	190	197	258	467
USGS	04096405	00060	70388		7	5	1963	2019	57	1978	628	1988	20.0	149	27	46	57	73	135	174	185	288	467
USGS	04096405	00060	70388		7	6	1963	2019	57	1978	569	1988	19.0	143	26	45	58	74	125	163	177	272	438
USGS	04096405	00060	70388		7	7	1963	2019	57	1978	513	1988	18.0	136	25	41	63	74	117	160	165	261	394
USGS	04096405	00060	70388		7	8	1963	2019	57	1978	452	1988	16.0	130	26	41	66	71	115	147	156	264	354
USGS	04096405	00060	70388		7	9	1963	2019	57	1978	385	1988	14.0	128	25	43	68	72	110	154	174	260	339
USGS	04096405	00060	70388		7	10	1963	2019	57	2015	365	1988	13.0	124	29	36	70	71	109	150	171	239	330
USGS	04096405	00060	70388		7	11	1963	2019	57	2015	328	1988	15.0	119	25	35	66	71	104	149	165	211	293
USGS	04096405	00060	70388		7	12	1963	2019	57	2015	313	1988	17.0	113	23	32	59	65	101	140	153	219	267
USGS	04096405	00060	70388		7	13	1963	2019	57	2015	314	1988	19.0	110	22	32	54	65	99	144	152	210	241
USGS	04096405	00060	70388		7	14	1963	2019	57	2015	362	2012	17.1	107	24	35	53	61	95	136	155	206	220
USGS	04096405	00060	70388		7	15	1963	2019	57	2015	362	2012	16.1	105	25	36	51	60	90	141	150	193	216
USGS	04096405	00060	70388		7	16	1963	2019	57	2015	327	2012	16.6	105	24	36	52	64	84	137	157	182	230
USGS	04096405	00060	70388		7	17	1963	2019	57	1986	399	2012	13.6	104	29	33	52	59	81	140	151	171	220
USGS	04096405	00060	70388		7	18	1963	2019	57	1986	352	2012	11.5	100	29	34	48	56	82	135	144	166	210
USGS	04096405	00060	70388		7	19	1963	2019	57	2015	344	2012	18.4	99	27	34	47	55	82	128	142	161	232
USGS	04096405	00060	70388		7	20	1963	2019	57	1986	314	1964	24.0	99	28	34	44	51	82	128	148	167	247
USGS	04096405	00060	70388		7	21	1963	2019	57	1986	296	1964	23.0	98	26	34	46	55	88	133	139	171	231
USGS	04096405	00060	70388		7	22	1963	2019	57	1986	266	2007	21.5	100	29	33	44	54	95	136	146	167	216
USGS	04096405	00060	70388		7	23	1963	2019	57	1986	229	2007	20.8	99	28	33	44	55	96	128	145	181	226
USGS	04096405	00060	70388		7	24	1963	2019	57	2010	309	2007	19.3	102	28	32	48	56	92	135	147	192	224
USGS	04096405	00060	70388		7	25	1963	2019	57	2010	452	1964	19.0	102	27	34	51	53	86	127	139	181	219
USGS	04096405	00060	70388		7	26	1963	2019	57	2010	489	1964	18.0	100	26	33	47	53	84	124	137	176	221
USGS	04096405	00060	70388		7	27	1963	2019	57	2010	448	1964	17.0	96	25	30	48	56	78	123	131	170	218
USGS	04096405	00060	70388		7	28	1963	2019	57	2010	438	1964	16.0	99	27	28	49	54	77	121	127	169	271
USGS	04096405	00060	70388		7	29	1963	2019	57	2010	534	1964	16.0	103	25	31	48	54	78	119	139	175	275
USGS	04096405	00060	70388		7	30	1963	2019	57	2010	621	1964	15.0	103	27	30	42	53	80	128	134	168	262
USGS	04096405	00060	70388		7	31	1963	2019	57	2010	553	1964	14.0	102	26	29	37	49	76	123	132	203	282
USGS	04096405	00060	70388		8	1	1963	2019	57	2010	489	1964	13.0	99	25	28	41	47	72	115	124	214	274
USGS	04096405	00060	70388		8	2	1963	2019	57	1981	505	1964	13.0	97	22	26	41	47	69	110	116	197	284
USGS	04096405	00060	70388		8	3	1963	2019	57	1981	512	1964	13.0	96	19	26	44	49	68	108	118	220	257
USGS	04096405	00060	70388		8	4	1963	2019	57	1981	501	1964	12.0	94	17	23	45	48	67	110	126	211	237
USGS	04096405	00060	70388		8	5	1963	2019	57	1981	465	1964	11.0	91	18	23	42	46	69	110	124	192	221
USGS	04096405	00060	70388		8	6	1963	2019	57	1981	426	1964	10.0	88	19	28	39	44	70	107	119	174	197
USGS	04096405	00060	70388		8	7	1963	2019	57	1981	387	1964	9.20	86	19	29	38	43	70	111	131	162	180
USGS	04096405	00060	70388		8	8	1963	2019	57	1981	351	1964	8.80	84	20	30	40	45	71	111	128	154	170
USGS	04096405	00060	70388		8	9	1963	2019	57	1981	318	1964	8.00	84	24	30	41	49	69	114	126	149	162
USGS	04096405	00060	70388		8	10	1963	2019	57	1981	288	1964	8.00	82	24	32	45	51	71	111	122	140	163
USGS	04096405	00060	70388		8	11	1963	2019	57	1981	274	1964	11.0	82	24	37	45	48	69	107	115	133	165
USGS	04096405	00060	70388		8	12	1963	2019	57	1981	261	1964	13.0	81	24	36	45	47	70	101	108	138	177
USGS	04096405	00060	70388		8	13	1963	2019	57	1981	247	1964	13.0	79	25	34	44	45	68	103	111	136	157
USGS	04096405	00060	70388		8	14	1963	2019	57	1980	249	1964	14.0	79	24	31	43	44	65	100	107	137	200
USGS	04096405	00060	70388		8	15	1963	2019	57	1980	287	1964	14.0	78	25	33	43	45	65	96	100	141	186
USGS	04096405	00060	70388		8	16	1963	2019	57	1980	276	1964	13.0	80	26	36	42	47	69	94	100	153	189
USGS	04096405	00060	70388		8	17	1963	2019	57	1980	271	1964	14.0	81	26	33	41	47	71	96	100	150	200
USGS	04096405	00060	70388		8	18	1963	2019	57	1980	270	1964	12.0	81	25	30	38	46	73	97	106	141	188
USGS	04096405	00060	70388		8	19	1963	2019	57	1980	254	1964	11.0	81	25	34	45	47	71	98	114	134	177
USGS	04096405	00060	70388		8	20	1963	2019	57	1980	288	1964	12.0	82	25	35	48	50	76	104	115	137	164
USGS	04096405	00060	70388		8	21	1963	2019	57	1980	328	1964	19.0	83	27	34	44	48	75	104	112	142	170
USGS	04096405	00060	70388		8	22	1963	2019	57	1980	313	1963	19.0	84	30	33	45	50	72	105	114	140	215
USGS	04096405	00060	70388		8	23	1963	2019	57	1980	292	1963	18.0	84	30	32	45	48	74	101	107	140	244
USGS	04096405	00060	70388		8	24	1963	2019	57	1980	280	1963	21.0	83	30	33	43	47	78	96	102	140	263
USGS	04096405	00060	70388		8	25	1963	2019	57	2007	281	1963	22.0	82	29	31	41	46	76	96	107	129	272
USGS	04096405	00060	70388		8	26	1963	2019	57	2007	295	1963	22.0	81	28	31	40	45	71	97	108	123	266
USGS	04096405	00060	70388		8	27	1963	2019	57	2007	294	1963	22.0	82	28	35	41	43	75	104	109	120	237
USGS	04096405	00060	70388		8	28	1963	2019	57	2007	292	1964	21.0	83	29	33	39	41	71	110	117	128	202
USGS	04096405	00060	70388		8	29	1963	2019	57	2007	289	1963	22.0	84	29	33	38	43	70	111	118	143	199
USGS	04096405	00060	70388		8	30	1963	2019	57	1981	289	1964	22.0	84	27	31	39	42	72	106	116	147	220
USGS	04096405	00060	70388		8	31	1963	2019	57	1975	343	1964	21.0	83	27	32	39	43	71	98	105	148	271
USGS	04096405	00060	70388		9	1	1963	2019	57	1975	480	1963	20.0	87	26	31	39	42	70	91	98	161	267
USGS	04096405	00060	70388		9	2	1963	2019	57	1975	476	1963	19.0	89	25	31	37	40	67	92	96	171	379
USGS	04096405	00060	70388		9	3	1963	2019	57	1975	430	1964	18.0	86	24	31	37	38	66	88	90	195	342
USGS	04096405	00060	70388		9	4	1963	2019	57	1975	397	1964	17.0	84	24	33	36	46	65	82	88	176	293
USGS	04096405	00060	70388		9	5	1963	2019	57	1975	365	1963	16.0	80	23	32	41	44	63	79	83	155	277
USGS	04096405	00060	70388		9	6	1963	2019	57	1975	348	1964	15.0	77	22	31	40	44	64	77	82	138	265
USGS	04096405	00060	70388		9	7	1963	2019	57	1975	311	1964	14.0	75	21	29	40	43	62	77	82	133	258
USGS	04096405	00060	70388		9	8	1963	2019	57	1975	274	1964	14.0	73	20	27	40	44	60	76	79	140	247
USGS	04096405	00060	70388		9	9	1963	2019	57	1981	250	1964	13.0	75	20	27	38	42	63	81	84	157	236
USGS	04096405	00060	70388		9	10	1963	2019	57	1981	239	1964	13.0	76	19	27	38	41	62	91	99	155	213
USGS	04096405	00060	70388		9	11	1963	2019	57	1981	221	1964	13.0	76	18	26	38	42	63	88	105	173	191
USGS	04096405	00060	70388		9	12	1963	2019	57	2013	212	1964	12.0	77	17	26	37	41	65	91	102	173	193
USGS	04096405	00060	70388		9	13	1963	2019	57	2013	212	1964	12.0	78	17	25	37	39	62	91	115	171	188
USGS	04096405	00060	70388		9	14	1963	2019	57	2008	519	1964	12.0	84	17	24	37	40	60	97	128	170	195
USGS	04096405	00060	70388		9	15	1963	2019	57	2008	978	1964	13.0	93	18	25	37	43	61	103	133	164	188
USGS	04096405	00060	70388		9	16	1963	2019	57	2008	1060	1963	13.0	94	20	30	36	43	63	96	119	174	200
USGS	04096405	00060	70388		9	17	1963	2019	57	2008	853	1963	13.0	92	20	30	38	41	62	94	126	180	223
USGS	04096405	00060	70388		9	18	1963	2019	57	2008	734	1963	12.0	92	20	30	38	42	66	98	127	173	244
USGS	04096405	00060	70388		9	19	1963	2019	57	2008	650	1963	12.0	90	20	30	38	41	67	105	118	163	242
USGS	04096405	00060	70388		9	20	1963	2019	57	2008	557	1963	13.0	89	20	32	37	40	66	105	122	181	256
USGS	04096405	00060	70388		9	21	1963	2019	57	2008	463	1963	13.0	87	20	33	38	40	69	99	117	161	234
USGS	04096405	00060	70388		9	22	1963	2019	57	2008	360	1963	13.0	86	20	36	39	42	69	99	130	174	260
USGS	04096405	00060	70388		9	23	1963	2019	57	1997	281	1963	15.0	86	20	36	40	44	67	110	127	179	260
USGS	04096405	00060	70388		9	24	1963	2019	57	1997	287	1963	14.0	84	20	34	39	46	64	106	123	172	223
USGS	04096405	00060	70388		9	25	1963	2019	57	1997	278	1963	14.0	83	20	33	41	47	65	116	120	163	196
USGS	04096405	00060	70388		9	26	1963	2019	57	1997	255	1963	13.0	83	20	34	41	44	65	116	126	171	198
USGS	04096405	00060	70388		9	27	1963	2019	57	1986	261	1963	13.0	85	22	35	43	49	65	110	125	166	224
USGS	04096405	00060	70388		9	28	1963	2019	57	1986	262	1963	13.0	86	21	33	42	47	68	112	136	165	200
USGS	04096405	00060	70388		9	29	1963	2019	57	1986	268	1963	13.0	87	26	36	44	49	66	113	129	159	201
USGS	04096405	00060	70388		9	30	1963	2019	57	1981	309	1963	13.0	90	26	35	45	51	67	118	133	167	218
USGS	04096405	00060	70388		10	1	1963	2020	58	1982	476	1964	12.0	90	26	32	44	50	67	106	124	159	209
USGS	04096405	00060	70388		10	2	1963	2020	58	1982	462	1964	12.0	89	27	31	44	51	65	109	121	150	194
USGS	04096405	00060	70388		10	3	1963	2020	58	1987	407	1964	12.0	90	28	33	46	50	67	106	126	149	237
USGS	04096405	00060	70388		10	4	1963	2020	58	1987	674	1964	12.0	94	30	34	45	49	66	105	124	143	251
USGS	04096405	00060	70388		10	5	1963	2020	58	1987	680	1964	11.0	94	31	35	46	49	67	111	120	142	243
USGS	04096405	00060	70388		10	6	1963	2020	58	1987	584	1964	11.0	94	30	34	47	49	75	106	121	149	250
USGS	04096405	00060	70388		10	7	1963	2020	58	1987	545	1964	11.0	93	28	34	46	49	74	105	116	145	256
USGS	04096405	00060	70388		10	8	1963	2020	58	1987	526	1964	12.0	93	27	38	45	48	77	109	119	141	260
USGS	04096405	00060	70388		10	9	1963	2020	58	1987	509	1964	12.0	93	27	40	48	49	76	108	120	143	262
USGS	04096405	00060	70388		10	10	1963	2020	58	1987	486	1964	13.0	93	26	40	48	49	73	109	123	160	252
USGS	04096405	00060	70388		10	11	1963	2020	58	1987	461	1964	13.0	92	27	40	49	50	71	109	123	160	243
USGS	04096405	00060	70388		10	12	1963	2020	58	1987	433	1964	13.0	92	28	39	47	49	72	109	125	169	250
USGS	04096405	00060	70388		10	13	1963	2020	58	1987	404	1964	13.0	91	28	38	47	47	73	109	122	165	240
USGS	04096405	00060	70388		10	14	1963	2020	58	1987	387	1964	13.0	93	26	39	46	50	73	108	121	181	273
USGS	04096405	00060	70388		10	15	1963	2020	58	1987	359	1964	14.0	96	26	40	46	49	75	109	122	196	311
USGS	04096405	00060	70388		10	16	1963	2020	58	2002	368	1964	15.0	98	25	40	47	52	79	110	117	206	321
USGS	04096405	00060	70388		10	17	1963	2020	58	2002	501	1964	15.0	102	24	39	47	55	82	114	132	213	312
USGS	04096405	00060	70388		10	18	1963	2020	58	2002	499	1965	14.0	105	23	38	48	54	80	118	151	224	298
USGS	04096405	00060	70388		10	19	1963	2020	58	2002	461	1965	15.0	107	23	41	50	54	84	116	156	234	285
USGS	04096405	00060	70388		10	20	1963	2020	58	2002	450	1965	16.0	108	24	44	52	53	87	125	156	229	273
USGS	04096405	00060	70388		10	21	1963	2020	58	2002	446	1965	17.0	109	23	43	53	55	88	136	167	229	269
USGS	04096405	00060	70388		10	22	1963	2020	58	2002	450	1965	18.0	109	23	45	51	56	85	138	159	223	266
USGS	04096405	00060	70388		10	23	1963	2020	58	2002	457	1965	18.0	109	23	45	55	56	91	133	151	216	255
USGS	04096405	00060	70388		10	24	1963	2020	58	2002	466	1965	18.0	111	22	46	56	58	91	139	145	212	241
USGS	04096405	00060	70388		10	25	1963	2020	58	2002	466	1965	19.0	112	23	45	58	64	93	141	161	218	230
USGS	04096405	00060	70388		10	26	1963	2020	58	2002	455	1965	20.0	111	24	43	58	62	93	145	162	211	230
USGS	04096405	00060	70388		10	27	1963	2020	58	2002	440	1965	21.0	112	24	42	58	63	92	151	160	211	226
USGS	04096405	00060	70388		10	28	1963	2020	58	2002	414	1965	21.0	113	25	42	57	61	90	151	162	214	250
USGS	04096405	00060	70388		10	29	1963	2020	58	2002	382	1965	21.0	111	24	42	58	62	91	148	157	209	243
USGS	04096405	00060	70388		10	30	1963	2020	58	2002	365	1965	21.0	110	23	42	61	66	91	147	152	206	245
USGS	04096405	00060	70388		10	31	1963	2020	58	2002	360	1965	22.0	111	28	42	65	70	92	144	151	205	242
USGS	04096405	00060	70388		11	1	1963	2020	58	2020	374	1965	22.0	114	32	41	68	72	95	142	152	203	240
USGS	04096405	00060	70388		11	2	1963	2020	58	2020	403	1965	22.0	118	32	44	68	70	102	148	160	201	233
USGS	04096405	00060	70388		11	3	1963	2020	58	2002	389	1965	24.0	121	32	44	67	70	104	165	167	197	276
USGS	04096405	00060	70388		11	4	1963	2020	58	2002	378	1965	23.0	121	31	44	66	71	110	164	170	206	284
USGS	04096405	00060	70388		11	5	1963	2020	58	2020	366	1965	23.0	123	32	43	67	70	106	166	183	201	280
USGS	04096405	00060	70388		11	6	1963	2020	58	2020	360	1965	23.0	124	30	43	67	71	106	170	185	198	284
USGS	04096405	00060	70388		11	7	1963	2020	58	2020	355	1965	23.0	124	29	41	67	70	107	169	181	208	284
USGS	04096405	00060	70388		11	8	1963	2020	58	2020	344	1965	23.0	123	30	41	66	73	107	168	171	203	289
USGS	04096405	00060	70388		11	9	1963	2020	58	2020	325	1965	22.0	122	32	41	65	71	112	160	167	206	281
USGS	04096405	00060	70388		11	10	1963	2020	58	1989	328	1965	22.0	124	32	42	65	76	122	153	168	209	294
USGS	04096405	00060	70388		11	11	1963	2020	58	1989	376	1965	23.0	128	32	44	66	73	122	166	170	239	282
USGS	04096405	00060	70388		11	12	1963	2020	58	1989	353	1965	23.0	129	33	43	66	72	123	160	175	246	267
USGS	04096405	00060	70388		11	13	1963	2020	58	1993	430	1965	23.0	130	33	43	65	71	121	168	176	236	264
USGS	04096405	00060	70388		11	14	1963	2020	58	1993	455	1965	23.0	129	32	43	68	72	117	168	181	236	271
USGS	04096405	00060	70388		11	15	1963	2020	58	1993	425	1965	24.0	129	38	42	67	72	114	177	190	226	274
USGS	04096405	00060	70388		11	16	1963	2020	58	1993	415	1965	28.0	131	40	52	68	75	111	185	200	221	297
USGS	04096405	00060	70388		11	17	1963	2020	58	1993	418	1965	27.0	134	40	54	68	76	107	187	192	235	305
USGS	04096405	00060	70388		11	18	1963	2020	58	1993	423	1965	27.0	136	39	54	70	76	107	181	188	241	305
USGS	04096405	00060	70388		11	19	1963	2020	58	1993	418	1965	28.0	139	40	54	71	76	113	177	199	255	358
USGS	04096405	00060	70388		11	20	1963	2020	58	1989	448	1965	28.0	144	47	53	70	75	117	177	202	258	407
USGS	04096405	00060	70388		11	21	1963	2020	58	1989	508	1965	26.0	146	48	50	68	73	120	192	209	264	392
USGS	04096405	00060	70388		11	22	1963	2020	58	1989	513	1965	23.0	146	46	53	67	78	130	191	208	258	383
USGS	04096405	00060	70388		11	23	1963	2020	58	1989	484	1965	25.0	149	45	51	66	76	128	190	218	250	379
USGS	04096405	00060	70388		11	24	1963	2020	58	1993	535	1965	26.0	152	44	51	67	77	139	189	217	242	367
USGS	04096405	00060	70388		11	25	1963	2020	58	1993	499	1965	26.0	152	44	51	71	85	140	193	217	243	351
USGS	04096405	00060	70388		11	26	1963	2020	58	1993	482	1965	29.0	153	42	50	74	83	147	201	213	241	364
USGS	04096405	00060	70388		11	27	1963	2020	58	1993	478	1965	29.0	158	42	50	81	92	152	202	208	246	374
USGS	04096405	00060	70388		11	28	1963	2020	58	1993	480	1964	32.0	167	42	49	88	97	151	212	231	300	362
USGS	04096405	00060	70388		11	29	1963	2020	58	1991	493	1964	32.0	175	41	50	93	98	158	214	234	329	391
USGS	04096405	00060	70388		11	30	1963	2020	58	2012	476	1964	31.0	178	43	53	99	104	167	212	236	331	442
USGS	04096405	00060	70388		12	1	1963	2020	58	2012	498	1964	30.0	179	41	53	103	110	162	231	256	327	398
USGS	04096405	00060	70388		12	2	1963	2020	58	2012	493	1964	30.0	180	41	56	97	112	160	227	275	334	376
USGS	04096405	00060	70388		12	3	1963	2020	58	2012	512	1964	30.0	180	41	59	96	117	162	235	279	326	373
USGS	04096405	00060	70388		12	4	1963	2020	58	2012	594	1965	27.0	180	40	62	98	112	161	234	273	325	363
USGS	04096405	00060	70388		12	5	1963	2020	58	2012	699	1964	30.0	181	40	62	97	112	162	234	265	330	354
USGS	04096405	00060	70388		12	6	1963	2020	58	2012	708	1964	27.0	179	40	59	96	119	157	229	260	304	351
USGS	04096405	00060	70388		12	7	1963	2020	58	2012	669	1964	27.0	178	43	66	96	121	159	217	268	292	328
USGS	04096405	00060	70388		12	8	1963	2020	58	2012	616	1964	27.0	177	43	71	97	118	158	230	268	298	316
USGS	04096405	00060	70388		12	9	1963	2020	58	2012	577	1965	29.0	176	42	75	92	118	157	254	262	291	343
USGS	04096405	00060	70388		12	10	1963	2020	58	2012	541	1964	30.0	176	35	80	94	116	164	238	253	295	336
USGS	04096405	00060	70388		12	11	1963	2020	58	2012	535	1964	30.0	174	42	78	104	114	159	223	252	282	332
USGS	04096405	00060	70388		12	12	1963	2020	58	2012	501	1964	30.0	174	42	73	96	114	158	226	252	293	328
USGS	04096405	00060	70388		12	13	1963	2020	58	2012	498	1964	30.0	177	42	70	104	119	160	234	249	286	352
USGS	04096405	00060	70388		12	14	1963	2020	58	2012	467	1964	28.0	177	45	73	103	115	164	236	249	288	342
USGS	04096405	00060	70388		12	15	1963	2020	58	2012	518	1964	25.0	180	45	75	100	114	171	240	246	288	340
USGS	04096405	00060	70388		12	16	1963	2020	58	2012	538	1964	25.0	182	45	76	105	112	170	241	250	313	343
USGS	04096405	00060	70388		12	17	1963	2020	58	2012	492	1964	25.0	178	46	76	107	112	169	220	251	310	330
USGS	04096405	00060	70388		12	18	1963	2020	58	2012	462	1964	25.0	175	48	77	104	111	162	228	254	303	336
USGS	04096405	00060	70388		12	19	1963	2020	58	2012	460	1964	25.0	172	48	77	102	106	155	222	254	313	327
USGS	04096405	00060	70388		12	20	1963	2020	58	2012	479	1964	25.0	173	50	79	100	105	151	224	249	302	334
USGS	04096405	00060	70388		12	21	1963	2020	58	2012	499	1964	25.0	173	50	84	100	106	153	220	244	287	354
USGS	04096405	00060	70388		12	22	1963	2020	58	2012	492	1964	25.0	175	50	79	99	109	158	212	231	292	396
USGS	04096405	00060	70388		12	23	1963	2020	58	2012	466	1964	25.0	176	48	75	98	110	161	205	236	294	384
USGS	04096405	00060	70388		12	24	1963	2020	58	2012	434	1964	25.0	176	50	73	101	119	165	229	248	301	376
USGS	04096405	00060	70388		12	25	1963	2020	58	1968	440	1964	25.0	181	50	72	101	118	168	237	254	305	384
